"id","userId","date","inTime","outTime","status","isLate","createdAt","inTime1","outTime1","inBranch1","outBranch1","inTime2","outTime2","inBranch2","outBranch2","inTime3","outTime3","inBranch3","outBranch3","inTime4","outTime4","inTime5","outTime5","info","info1","info2","info3","info4","info5"
"1488","63","2026-05-13T18:30:00.000Z","2026-05-14T01:33:09.273Z","2026-05-14T04:30:35.139Z","OUT","true","2026-06-02T05:34:47.387Z","2026-05-14T01:33:09.273Z","2026-05-14T04:30:35.139Z","HANUMANTHNAGAR","HANUMANTHNAGAR","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1514","82","2026-06-01T18:30:00.000Z","2026-06-02T01:45:00.000Z","2026-06-02T07:30:00.000Z","OUT","true","2026-06-02T06:41:38.568Z","2026-06-02T01:45:00.000Z","2026-06-02T07:30:00.000Z","HNM","","","","","","","","","","","","","","","FORGOT TO PUNCH OUT","","","",""
"493","58","2026-05-18T18:30:00.000Z","","","ABSENT","true","2026-05-19T01:34:15.398Z","","","JNR, MOBILE","JNR, MOBILE","","","JNR, MOBILE","JNR, MOBILE","","","JNR, MOBILE","JNR, MOBILE","","","","","","","","","",""
"1520","49","2026-05-18T18:30:00.000Z","","","ABSENT","false","2026-06-02T07:47:00.429Z","","","","","","","","","","","","","","","","","","","","","",""
"1144","40","2026-06-01T18:30:00.000Z","2026-06-02T01:31:18.136Z","2026-06-02T15:29:12.787Z","OUT","true","2026-06-02T01:31:18.141Z","2026-06-02T01:31:18.136Z","2026-06-02T02:41:42.887Z","HNM","HNM","2026-06-02T09:50:29.555Z","2026-06-02T15:29:12.787Z","HNM","HNM","","","","","","","","","","","","","",""
"1516","74","2026-06-01T18:30:00.000Z","2026-06-02T07:23:52.019Z","2026-06-02T15:45:58.709Z","OUT","true","2026-06-02T07:23:52.015Z","2026-06-02T07:23:52.019Z","2026-06-02T15:45:58.709Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1162","55","2026-06-01T18:30:00.000Z","2026-06-02T04:14:27.387Z","2026-06-02T12:35:23.775Z","OUT","false","2026-06-02T04:14:27.394Z","2026-06-02T04:14:27.387Z","2026-06-02T12:35:23.775Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1513","53","2026-06-01T18:30:00.000Z","2026-06-02T06:10:15.095Z","2026-06-02T14:32:33.483Z","OUT","true","2026-06-02T06:10:15.102Z","2026-06-02T14:32:07.244Z","2026-06-02T14:32:33.483Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1515","49","2026-06-01T18:30:00.000Z","2026-06-02T06:59:27.011Z","2026-06-02T14:26:15.286Z","OUT","false","2026-06-02T06:59:27.017Z","2026-06-02T06:59:27.011Z","2026-06-02T14:26:15.286Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1151","41","2026-06-01T18:30:00.000Z","2026-06-02T01:41:06.869Z","2026-06-02T14:27:57.190Z","OUT","true","2026-06-02T01:41:06.878Z","2026-06-02T01:41:06.869Z","2026-06-02T14:27:57.190Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1139","64","2026-06-01T18:30:00.000Z","2026-06-02T01:16:23.413Z","2026-06-02T14:30:11.197Z","OUT","false","2026-06-02T01:16:23.418Z","2026-06-02T01:16:23.413Z","2026-06-02T07:31:10.402Z","HNM","HNM","2026-06-02T09:26:06.128Z","2026-06-02T14:30:11.197Z","HNM","HNM","","","","","","","","","","","","","",""
