"id","name","branchCode","kioskDeviceId","lat","lng","radius","createdAt","updatedAt"
"1","JAYANAGAR","JNR","","12.926234","77.584561","100","2026-05-12T07:50:23.546Z","2026-05-19T05:37:04.624Z"
"2","HANUMANTHANAGAR","HNM","","12.941605","77.558247","150","2026-05-12T07:50:23.926Z","2026-05-19T05:37:07.978Z"
