"id","userId","date","day","subject","batchNo","duration","startTime","endTime","noOfStudents","centerName","remarks","status","adminReason","createdAt","updatedAt"
"1","81","2026-06-03T18:30:00.000Z","THU","java","b4445","4.33","07:00 AM","11:20 AM","5","HNM","lawful adjf","APPROVED","approved by sujatha","2026-06-04T13:13:12.526Z","2026-06-04T13:15:08.682Z"
"2","49","2026-06-05T18:30:00.000Z","SAT","Generative AI","B125","2","06:30 AM","08:30 AM","13","Jnr","","PENDING","","2026-06-06T04:42:43.993Z","2026-06-06T04:42:43.993Z"
